id,batch_id,account_code,item_description,brand,model,serial_no,qty_physical_count,unit_cost,line_total_db,line_total_normalized,remarks
19151,14,1.06.05.020.00,"55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209179C00469","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209179C00469,1,50010.00,50010.00,50010.00,"Marked: RPCPPE 2025 submitted to Accounting (2026-04-13) | RPCPPE_2025_LIST"
19152,14,1.06.05.020.00,"55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209179C00803","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209179C00803,1,50010.00,50010.00,50010.00,"Marked: RPCPPE 2025 submitted to Accounting (2026-04-13) | RPCPPE_2025_LIST"
19153,14,1.06.05.020.00,"55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209160B02142","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209160B02142,1,50010.00,50010.00,50010.00,"Marked: RPCPPE 2025 submitted to Accounting (2026-04-13) | RPCPPE_2025_LIST"
19154,14,1.06.05.020.00,"55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209179C00894","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209179C00894,1,50010.00,50010.00,50010.00,"Marked: RPCPPE 2025 submitted to Accounting (2026-04-13) | RPCPPE_2025_LIST"
19155,14,1.06.05.020.00,"55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209179C00142","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209179C00142,1,50010.00,50010.00,50010.00,"Marked: RPCPPE 2025 submitted to Accounting (2026-04-13) | RPCPPE_2025_LIST"
19156,14,1.06.05.020.00,"55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209179C00143","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209179C00143,1,50010.00,50010.00,50010.00,"Marked: RPCPPE 2025 submitted to Accounting (2026-04-13) | RPCPPE_2025_LIST"
19157,14,1.06.05.020.00,"55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209160B02106","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209160B02106,1,50010.00,50010.00,50010.00,"Marked: RPCPPE 2025 submitted to Accounting (2026-04-13) | RPCPPE_2025_LIST"
19158,14,1.06.05.020.00,"55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209179C00240","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209179C00240,1,50010.00,50010.00,50010.00,"Marked: RPCPPE 2025 submitted to Accounting (2026-04-13) | RPCPPE_2025_LIST"
19159,14,1.06.05.020.00,"55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209179C00478","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209179C00478,1,50010.00,50010.00,50010.00,"Marked: RPCPPE 2025 submitted to Accounting (2026-04-13) | RPCPPE_2025_LIST"
19160,14,1.06.05.020.00,"55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209160B02140","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209160B02140,1,50010.00,50010.00,50010.00,"Marked: RPCPPE 2025 submitted to Accounting (2026-04-13) | RPCPPE_2025_LIST"
19161,14,1.06.05.020.00,"55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209160B02182","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209160B02182,1,50010.00,50010.00,50010.00,"Marked: RPCPPE 2025 submitted to Accounting (2026-04-13) | RPCPPE_2025_LIST"
19162,14,1.06.05.020.00,"55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209160B02469","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209160B02469,1,50010.00,50010.00,50010.00,"Marked: RPCPPE 2025 submitted to Accounting (2026-04-13) | RPCPPE_2025_LIST"
19163,14,1.06.05.020.00,"55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209179C00933","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209179C00933,1,50010.00,50010.00,50010.00,"Marked: RPCPPE 2025 submitted to Accounting (2026-04-13) | RPCPPE_2025_LIST"
19164,14,1.06.05.020.00,"55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209160B02187","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209160B02187,1,50010.00,50010.00,50010.00,"Marked: RPCPPE 2025 submitted to Accounting (2026-04-13) | RPCPPE_2025_LIST"
