id,batch_id,account_code,account_name,property_number,classification_name,item_description,brand,model,serial_no,qty_physical_count,qty_property_card,unit_cost,line_total,acquisition_date,office_name
19092,14,1.06.05.020.00,"Office Equipment",2025-01-00.000-0011-013,"Television Set","LED 50"" Smart TV; LG 50UK 6300 PTE SN: 807INJL4Z228",LG,"50UK 6300 PTE",807INJL4Z228,1,1,54990.00,54990.00,2025-01-01,"College of Computer Studies"
19093,14,1.06.05.020.00,"Office Equipment",2025-01-00.000-0012-013,"Television Set","LED 50"" Smart TV; LG 50UK 6300 PTE SN: 805INGQ1D216",LG,"50UK 6300 PTE",805INGQ1D216,1,1,54990.00,54990.00,2025-01-01,"College of Computer Studies"
19094,14,1.06.05.020.00,"Office Equipment",2025-01-00.000-0128-000,"Television Set","LED 50"" Smart TV; LG 50UK 6300 PTE SN: 805INDP3M210",LG,"50UK 6300 PTE",805INDP3M210,1,1,54990.00,54990.00,2025-01-01,
19095,14,1.06.05.020.00,"Office Equipment",2025-01-00.000-0129-000,"Television Set","LED 50"" Smart TV; LG 50UK 6300 PTE SN: 807INJL10021",LG,"50UK 6300 PTE",807INJL10021,1,1,54990.00,54990.00,2025-01-01,
19096,14,1.06.05.020.00,"Office Equipment",2025-01-00.000-0130-000,Aircon,"Everest, 3 tonner; Inverter; floor mounted SN: 340624293018719060041","floor mounted",,340624293018719060041,1,1,100168.00,100168.00,2025-01-01,
19097,14,1.06.05.020.00,"Office Equipment",2025-01-00.000-0131-000,Aircon,"Everest; 5 tonner inverter; floor mounted SN: 340719813098C210160019",Everest,,340719813098C210160019,1,1,137436.00,137436.00,2025-01-01,
19098,14,1.06.05.020.00,"Office Equipment",2025-01-00.000-0132-000,Aircon,"Everest; 5 tonner inverter; floor mounted SN: 340719813098C210160015",Everest,,340719813098C210160015,1,1,137436.00,137436.00,2025-01-01,
19099,14,1.06.05.020.00,"Office Equipment",2025-01-00.000-0133-000,Aircon,"Everest; 5 tonner inverter; floor mounted SN: 340719813098C210160012",Everest,,340719813098C210160012,1,1,137436.00,137436.00,2025-01-01,
19100,14,1.06.05.020.00,"Office Equipment",2025-01-00.000-0134-000,Aircon,"Everest; 5 tonner inverter; floor mounted SN: 340719813098C210160027",Everest,,340719813098C210160027,1,1,137436.00,137436.00,2025-01-01,
19101,14,1.06.05.020.00,"Office Equipment",2025-01-00.000-0135-000,Aircon,"Everest; 5 tonner inverter; floor mounted SN: ,340719813098C210160016",Everest,,340719813098C210160016,1,1,137436.00,137436.00,2025-01-01,
